35;3881;soupe de crustacés;;soup, crustaceans;16;16;161;161;;;;01;;;;K3,T4,K3,A5,D8,R8,T8,P4,X6;;01;07;06;;;01;;;99;A041L#F03.A06JL$F04.A02FD$F04.A00QH$F04.A00ZT$F04.A00HC$F04.A00HR$F04.A00QR$F04.A00KH$F04.A00SB$F04.A00RE$F10.A077A$F10.A0CJK$F18.A07NZ$F19.A07PV$F22.A07SH;Soups (ready-to-eat), Liquid,Food industry prepared,Crustaceans,Carrots,Potatoes,Onions,Globe tomato,Parsnip roots,Pumpkins,Leeks,Turnips,Full fat,With added salt,Flexible formed container,Laminated paperboard–plastic-metal;A03VA;Composite dishes;A041K;Soups and salads;A041L;Soups (ready-to-eat);23;
35;3879;soupe de poisson;;soup, fish;16;16;161;161;;;;01;;;;P7,9E;;;;03;;;;;03;;A041X#F03.A06JL$F04.A02FP$F04.A02HF$F22.A07SS;Fish soup, Liquid,Home prepared (family, social networks, proxies),Lobsters,Mussels;A03VA;Composite dishes;A041K;Soups and salads;A041L;Soups (ready-to-eat);17;
35;3880;soupe de viande;;soup, meat;16;16;161;161;;;;01;;;;Q3,T5;;01;07;06;;;01;;;99;A0BZA#F03.A06JL$F04.A00TK$F04.A01SN$F10.A077A$F10.A0CJK$F18.A07NZ$F19.A07PV$F22.A07SH;Meat soup, with pieces, Liquid,Food industry prepared,Morels,Poultry fresh meat (muscle meat),Full fat,With added salt,Flexible formed container,Laminated paperboard–plastic-metal;A03VA;Composite dishes;A041K;Soups and salads;A041L;Soups (ready-to-eat);10;
35;3968;soupe gaspacho;;gaspacho, tomato-sweet pepper-concombre;16;16;161;161;;;;01;;;;E1,M2,94,A5,W6;;01;07;06;;;01;;;03;A0CVB#F03.A06JL$F04.A00JM$F04.A00JR$F04.A013J$F04.A00HC$F04.A00JA$F10.A077A$F10.A0CJK$F18.A07NZ$F19.A07PV$F22.A07SH$F28.A07KP;Gazpacho and similar, Liquid,Food industry prepared,Cucumbers,Courgettes,Garden peas (dry),Onions,Sweet peppers,Full fat,With added salt,Flexible formed container,Laminated paperboard–plastic-metal,Chilling;A03VA;Composite dishes;A041K;Soups and salads;A041L;Soups (ready-to-eat);22;
35;3918;soupe harira marocaine;;soup, harira maroccan;16;16;161;161;;;;01;;;;;;;;03;;;;;;;A041Y#F03.A06JL$F04.A007D$F04.A01RH$F22.A07SS$F26.A07XE;Grains soup, Liquid,Home prepared (family, social networks, proxies),Other,Pasta and similar products,Sheep muscle;A03VA;Composite dishes;A041K;Soups and salads;A041L;Soups (ready-to-eat);3;
35;3883;soupe minestrone;;soup, minestrone;16;16;161;161;;;;01;;;;;;00;05;06;;;01;;;02;A041Y#F03.A06JL$F04.A007D$F10.A0CJK$F19.A07PR$F22.A07SH$F26.A07XE$F28.A07KQ;Grains soup, Liquid,Food industry prepared,Other,Pasta and similar products,With added salt,Plastic,Freezing;A03VA;Composite dishes;A041K;Soups and salads;A041L;Soups (ready-to-eat);5;
35;3882;soupe miso;;soup, miso;16;16;161;161;;;;02;;;;;;01;;06;;;01;;;99;A041L#F10.A077A$F10.A0CJK$F22.A07SH$F26.A07XE$F28.A07MR;Soups (ready-to-eat), Food industry prepared,Other,Full fat,With added salt,Reconstitution from concentrate, powder or other dehydrated form;A03VA;Composite dishes;A041K;Soups and salads;A041L;Soups (ready-to-eat);11;
35;2493;soupe n.s.;;soup, n.s.;16;16;161;161;;;;01;;;;E1,A2,7E,B1;;;;03;;;;;03;;A041L#F03.A06JL$F04.A00JM$F04.A00XD$F04.A031F$F04.A02NE$F22.A07SS;Soups (ready-to-eat), Liquid,Home prepared (family, social networks, proxies),Cucumbers,Chives,Whole eggs,Yoghurt;A03VA;Composite dishes;A041K;Soups and salads;A041L;Soups (ready-to-eat);24;
35;3912;soupe thaï;;soup, thai;16;16;161;161;;;;01;;;;;;;;03;;;;;;;A041Y#F03.A06JL$F04.A007D$F04.A01BK$F22.A07SS;Grains soup, Liquid,Home prepared (family, social networks, proxies),Pasta and similar products,Coconut milk (cocos nucifera) liquid;A03VA;Composite dishes;A041K;Soups and salads;A041L;Soups (ready-to-eat);7;
35;3908;soupe vietnamienne;;soup, vietnamese;16;16;161;161;;;;01;;;;;;;;25;;;;;;;A041Y#F03.A06JL$F04.A007D$F22.A07SP;Grains soup, Liquid,Restaurant prepared,Pasta and similar products;A03VA;Composite dishes;A041K;Soups and salads;A041L;Soups (ready-to-eat);4;
35;3886;soupe à la bisque de homard;;soup, lobster bisque;16;16;161;161;;;;01;;;;ZA;;;00;08;;;;;;;A041X#F03.A06JL$F04.A02FP$F22.A07SY;Fish soup, Liquid,Prepared by artisan,Lobsters;A03VA;Composite dishes;A041K;Soups and salads;A041L;Soups (ready-to-eat);2;
